"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"2.2uF","desc","C11,","0805_C","libref","2","1","","",
"10pF","desc","C34,C35,","0603_C","libref","2","2","","",
"10nF","desc","C37,","0603_C","libref","2","1","","",
"47pF","desc","C38,","0603_C","libref","2","1","","",
"4.7uF 25V","desc","C40,","0805_C","libref","2","1","","",
"10uF","desc","C41,","0805_C","libref","2","1","","",
"22uF","desc","C42,C10,","0805_C","libref","2","2","","",
"104","desc","C43,C8,C6,C39,C36,C33,C32,C31,C30,C29,C28,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C9,C7,C5,C4,C3,C2,C1,","0603_C","libref","2","33","","",
"16V","desc","D2,","LL-34","libref","2","1","","",
"SS34","desc","D3,","SMA(DO-214AC)_S3","libref","2","1","","",
"1A","desc","F1,","R_1812_HandSoldering","libref","2","1","","",
"22uH 1A","desc","L1,","L_SMD4030_hand","libref","2","1","","",
"8050","desc","Q14,Q13,Q12,Q11,Q10,Q9,Q8,Q7,Q6,Q5,Q4,Q3,","SOT-23(SOT-23-3)","libref","3","12","","",
"8550","desc","Q26,Q25,Q24,Q23,Q22,Q21,Q20,Q19,Q18,Q17,Q16,Q15,Q2,Q1,","SOT-23(SOT-23-3)","libref","3","14","","",
"33","desc","R17,R16,R15,R8,R6,R4,R2,R1,R14,R13,R12,R11,R9,R7,R5,R3,","0603_R","libref","2","16","","",
"1K","desc","R19,R54,R10,R53,R18,","0603_R","libref","2","5","","",
"0","desc","R20,","1206_R","libref","2","1","","",
"4.7K","desc","R37,R36,R35,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25,","0603_R","libref","2","13","","",
"330","desc","R47,R46,","0603_R","libref","2","2","","",
"49.9","desc","R49,R48,R45,R44,","0603_R","libref","2","4","","",
"10K","desc","R50,","0603_R","libref","2","1","","",
"12K","desc","R51,","0603_R","libref","2","1","","",
"100","desc","R52,","0603_R","libref","2","1","","",
"300","desc","R57,","0603_R","libref","2","1","","",
"15K","desc","R58,","0603_R","libref","2","1","","",
"51K","desc","R59,","0603_R","libref","2","1","","",
"100K","desc","R59*1,R56,R55,","0603_R","libref","2","3","","",
"47K","desc","R61,R60,R43,R42,R41,R40,R39,R38,R24,R23,R22,R21,","0603_R","libref","2","12","","",
"EPM240T100","desc","U1,","LQFP-100_14X14X05P","libref","100","1","","",
"AZ1117-1.8","desc","U3,","SOT-223","libref","4","1","","",
"CH395Q","desc","U4,","LQFP-64_10X10X05P","libref","64","1","","",
"STM32F030C8Tx","desc","U5,","LQFP-48_7X7X05P","libref","48","1","","",
"MAX485E","desc","U6,","SOIC-8_W3.9mm","libref","8","1","","",
"SY8303","desc","U7,","TSOT-23-8_HandSoldering","libref","8","1","","",
"AZ1117-3.3","desc","U8,","SOT-223","libref","4","1","","",
"74HC04","desc","U9,U2,","TSSOP-14","libref","14","2","","",
"30MHz","desc","Y1,","Crystal_SMD_3225-4pin_3.2x2.5mm","libref","4","1","","",
"Through Hole Items ",
"Remote","desc","D1,","LED_D3.0mm","libref","2","1","","",
"Red","desc","D4,","LED_D3.0mm","libref","2","1","","",
"Conn_01x01","desc","J2,","PINTST","libref","1","1","","",
"RST","desc","J9,","PINTST","libref","1","1","","",
"Conn_01x01","desc","SC4,SC3,SC2,SC1,","M3_Screwhole","libref","7","4","","",
"0.56'' BLUE CA","desc","SEG1,SEG2,","7SegmentLED_LTS6760_LTS6780","libref","10","2","","",
"SRBV170501","desc","SW2,SW1,","SRBV170501","libref","12","2","","",
"LOAD","desc","SW3,","K8-7071","libref","6","1","","",
"REMOTE","desc","SW4,","K8-7071","libref","6","1","","",
"Blaster JTAG","desc","J1,","JTAG_10","libref","10","1","","",
"Conn_01x08","desc","J4,J3,","JST_XH_B08B-XH-A_08x2.50mm_Straight","libref","8","2","","",
"HR913550A","desc","J5,","HR913550A","libref","16","1","","",
"SWD","desc","J6,","Pin_Header_Straight_1x04_Pitch2.54mm","libref","4","1","","",
"485","desc","J7,","PhoenixContact_MSTBA-G_03x5.08mm_Angled","libref","3","1","","",
"12VDC","desc","J8,","PhoenixContact_MSTBA-G_02x5.08mm_Angled","libref","2","1","","",
"100K","desc","RV1,","3362P","libref","3","1","","",
